generador;hora;vertimiento_mw
SOLAR-NORTE-01;860;451.7142857142857
SOLAR-NORTE-01;873;472.8928571428571
SOLAR-NORTE-01;874;879.9642857142857
SOLAR-NORTE-01;875;1145.5
SOLAR-NORTE-01;876;1255.25
SOLAR-NORTE-01;877;1283.357142857143
SOLAR-NORTE-01;878;1296.9642857142858
SOLAR-NORTE-01;879;1299.107142857143
SOLAR-NORTE-01;880;1299.107142857143
SOLAR-NORTE-01;881;1289.7142857142858
SOLAR-NORTE-01;882;1219.142857142857
SOLAR-NORTE-01;883;1056.75
SOLAR-NORTE-01;884;451.7142857142857
SOLAR-NORTE-01;896;6.142857142857139
SOLAR-NORTE-01;897;472.8928571428571
SOLAR-NORTE-01;898;879.9642857142857
SOLAR-NORTE-01;899;1145.5
SOLAR-NORTE-01;900;1255.25
SOLAR-NORTE-01;901;1283.357142857143
SOLAR-NORTE-01;902;1296.9642857142858
SOLAR-NORTE-01;903;1299.107142857143
SOLAR-NORTE-01;904;1299.107142857143
SOLAR-NORTE-01;905;1289.7142857142858
SOLAR-NORTE-01;906;1219.142857142857
SOLAR-NORTE-01;907;1056.75
SOLAR-NORTE-01;908;451.7142857142857
SOLAR-NORTE-01;920;6.142857142857139
SOLAR-NORTE-01;921;472.8928571428571
SOLAR-NORTE-01;922;879.9642857142857
SOLAR-NORTE-01;923;1145.5
SOLAR-NORTE-01;924;1255.25
SOLAR-NORTE-01;925;1283.357142857143
SOLAR-NORTE-01;926;1296.9642857142858
SOLAR-NORTE-01;927;1299.107142857143
SOLAR-NORTE-01;928;1299.107142857143
SOLAR-NORTE-01;929;1289.7142857142858
SOLAR-NORTE-01;930;1219.142857142857
SOLAR-NORTE-01;931;1056.75
SOLAR-NORTE-01;932;451.7142857142857
SOLAR-NORTE-01;944;6.142857142857139
SOLAR-NORTE-01;945;472.8928571428571
SOLAR-NORTE-01;946;879.9642857142857
SOLAR-NORTE-01;947;1145.5
SOLAR-NORTE-01;948;1255.25
SOLAR-NORTE-01;949;1283.357142857143
SOLAR-NORTE-01;950;1296.9642857142858
SOLAR-NORTE-01;951;1299.107142857143
SOLAR-NORTE-01;952;1299.107142857143
SOLAR-NORTE-01;953;1289.7142857142858
SOLAR-NORTE-01;954;1219.142857142857
SOLAR-NORTE-01;955;1056.75
SOLAR-NORTE-01;956;451.7142857142857
SOLAR-NORTE-01;968;6.142857142857139
SOLAR-NORTE-01;969;472.8928571428571
SOLAR-NORTE-01;970;879.9642857142857
SOLAR-NORTE-01;971;1145.5
SOLAR-NORTE-01;972;1255.25
SOLAR-NORTE-01;973;1283.357142857143
SOLAR-NORTE-01;974;1296.9642857142858
SOLAR-NORTE-01;975;1299.107142857143
SOLAR-NORTE-01;976;1299.107142857143
SOLAR-NORTE-01;977;1289.7142857142858
SOLAR-NORTE-01;978;1219.142857142857
SOLAR-NORTE-01;979;1056.75
SOLAR-NORTE-01;980;451.7142857142857
SOLAR-NORTE-01;992;6.142857142857139
SOLAR-NORTE-01;993;472.8928571428571
SOLAR-NORTE-01;994;879.9642857142857
SOLAR-NORTE-01;995;1145.5
SOLAR-NORTE-01;996;1255.25
SOLAR-NORTE-01;997;1283.357142857143
SOLAR-NORTE-01;998;1296.9642857142858
SOLAR-NORTE-01;999;1299.107142857143
SOLAR-NORTE-01;1000;1299.107142857143
SOLAR-NORTE-01;1001;1289.7142857142858
SOLAR-NORTE-01;1002;1219.142857142857
SOLAR-NORTE-01;1003;1056.75
SOLAR-NORTE-01;1004;451.7142857142857
SOLAR-NORTE-01;1016;6.142857142857139
SOLAR-NORTE-01;1017;472.8928571428571
SOLAR-NORTE-01;1018;879.9642857142857
SOLAR-NORTE-01;1019;1145.5
SOLAR-NORTE-01;1020;1255.25
SOLAR-NORTE-01;1021;1283.357142857143
SOLAR-NORTE-01;1022;1296.9642857142858
SOLAR-NORTE-01;1023;1299.107142857143
SOLAR-NORTE-01;1024;1299.107142857143
SOLAR-NORTE-01;1025;1289.7142857142858
SOLAR-NORTE-01;1026;1219.142857142857
SOLAR-NORTE-01;1027;1056.75
SOLAR-NORTE-01;1028;451.7142857142857
SOLAR-NORTE-01;1040;6.142857142857139
SOLAR-NORTE-01;1041;472.8928571428571
SOLAR-NORTE-01;1042;879.9642857142857
SOLAR-NORTE-01;1043;1145.5
SOLAR-NORTE-01;1044;1255.25
SOLAR-NORTE-01;1045;1283.357142857143
SOLAR-NORTE-01;1046;1296.9642857142858
SOLAR-NORTE-01;1047;1299.107142857143
SOLAR-NORTE-01;1048;1299.107142857143
SOLAR-NORTE-01;1049;1289.7142857142858
SOLAR-NORTE-01;1050;1219.142857142857
SOLAR-NORTE-01;1051;1056.75
SOLAR-NORTE-01;1052;451.7142857142857
SOLAR-NORTE-01;1064;6.142857142857139
SOLAR-NORTE-01;1065;472.8928571428571
SOLAR-NORTE-01;1066;879.9642857142857
SOLAR-NORTE-01;1067;1145.5
SOLAR-NORTE-01;1068;1255.25
SOLAR-NORTE-01;1069;1283.357142857143
SOLAR-NORTE-01;1070;1296.9642857142858
SOLAR-NORTE-01;1071;1299.107142857143
SOLAR-NORTE-01;1072;1299.107142857143
SOLAR-NORTE-01;1073;1289.7142857142858
SOLAR-NORTE-01;1074;1219.142857142857
SOLAR-NORTE-01;1075;1056.75
SOLAR-NORTE-01;1076;451.7142857142857
SOLAR-NORTE-01;1088;6.142857142857139
SOLAR-NORTE-01;1089;472.8928571428571
